ABET	VBOO; 
AG	AG;  Administrateur-generaal;  Advokaat-generaal;  Adjudant-generaal; 
AU	 AU; Afrika-unie; 
Africa	Afrika; 
Africa's	Afrika se; 
African	Afrikaan; 
African-American	Afrikaan-Amerikaner; 
Africans	Afrikane; 
America	Amerika; 
American	 Amerikaans; Amerikaanse; 
Andre	André; 
Arab	Arabier; 
Asia	Asië; 
Asian	 Asiese; Asiese; Asies; 
Audios	audio’s; klankreproduksie; 
Auditor	Ouditeur; 
Auditor-General	Ouditeur-Generaal; 
Australia	Australië; 
Austria	Oostenryk; 
Ave	rosekrans;  heil;  groetgebed; 
BBC	Britse Uitsaaikorporasie;  BBC; 
BRICS	BRICS-lande; 
Bantu	Bantoe; 
Bay	Baai; 
Beginner's	die beginner se; 
Berlin	Berlyn; 
Brazil	Brasilië; 
Britain	 Engeland; Brittanje; 
British	 Brits; Britse;  Engelse; 
CEOs	HUB's; Hoof- uitvoerende beamptes; 
CHAN	KAN; 
Canada	Kanada; 
Caribbean	Karibiese; 
Castle	Castle;  kasteel; 
Cedar	seders; 
Chairman	Voorsitter; 
Charlotte	Charlotte-hoed; 
Chinese	Sjinees; 
Christian	Christelike;  Christen; 
Christianity	Christendom; 
Christmas	Kersfees; 
Clerks	klerke; 
Commissioner	Kommissaris; 
Confederations	Konfederasies; 
Congo	Kongo; 
Cuba	Kuba; 
DBE	DBO; Departement van Basiese Onderwys; 
DECEMBER	DESEMBER; 
DG	Direkteur-generaal; 
DRC	 Demokratiese Republiek van die Kongo; DRK; 
David	 Dawid; David; 
Dec	Des; 
December	Desember; 
Deregister	registrasie skrap;  deregistreer;  registrasie intrek; 
Dominican	Dominikaanse; 
Dr	 dr.; dr; 
Drakensberg	Drakensberge; 
Dutch	Nederlands; 
EC	 ensiempleging; EV; 
EFF	Ekonomiese Vryheidsvegters; 
England	Engeland; 
English	Engels; 
Ethiopia	Ethiopië; 
Europe	Europa; 
European	Blanke;  Europees; 
Excellency	Eksellensie; 
FEBRUARY	FEBRUARIE; 
FRIDAY	VRYDAG; 
February	Februarie; 
Federal	Federale; 
France	Frankryk; 
French	Franse; 
Friday	Vrydag; 
Fridays	Vrydae; 
GB	grondvlak;  GB;  gigagreep;  Groot-Brittanje; 
GDP	BBP; 
German	Duits; 
Germany	Duitsland; 
Glossary	glossarium; woordelys; 
God	 God; Allerhoogste; 
Guardian	kurator;  bewaker;  bewaarder;  Voog; 
HIV	HIV;  MIV; 
HIV-positive	 MIV-positiewe; MIV-positief; 
Hague	Den Haag; 
Handbook	handboek;  teksboek; 
Hawks	Valke; 
Helen	Helen;  Helena; 
Hon	 Agbare; Agb.; 
I'm	Ek is; 
ICT	Inligting- en kommunikasietegnologie; IKT; 
India	Indië; 
Indian	Indiaan;  Indiër; 
Infecting	besmet;  infekteer; 
Interjections	tussenwerpsels; 
Islamic	Islams; 
Italy	Italië; 
JANUARY	JANUARIE; 
JULY	JULIE; 
JUNE	JUNIE; 
Jacob	Jakob; 
James	Jakobus; 
January	Januarie; 
Jewish	Joods; 
John	Johannes; 
Jonathan	 Jonatan; Jonathan; 
Jordan	Jordaan;  Jordan; 
Joseph	 Josef; Joseph; 
July	Julie; 
June	Junie; 
Kenya	Kenia; 
Keyword	 slagwoord; sleutelwoord;  trefwoord; 
London	Londen; 
Lotteries	Loterye; 
MONDAY	MAANDAG; 
MP	 Lid van die Parlement; LP; 
MPs	LP's; 
MR	VB; 
Madam	mevrou;  juffrou; 
Mama	ma;  mamma; 
Mandela's	Mandela se; 
Mar	Mrt; 
Mayor	Burgermeester; 
Meanwhile	in die tussentyd; 
Methodist	Metodiste; 
Mme	madame; 
Monday	Maandag; 
Moscow	Moskou; 
Mourns	 treur; rou; 
Mozambique	Mosambiek; 
Mr	Mnr; 
Mrs	Mev; 
Muslim	Moslem; 
NB	 Let Wel; LW; 
NCR	Nasionale Kredietreguleerder; NKR;  NKR; 
Namibia	Namibië; 
Nat	Nasionalis;  Nat; 
Netherlands	 Nederlande; Nederlands; 
Nigeria	Nigerië; 
Nigerian	Nigeriër; 
Nobel	Nobelprys;  Nobel; 
OCTOBER	OKTOBER; 
Oct	Okt; 
October	Oktober; 
Offender's	die oortreder se; 
Olympic	Olimpies; 
Olympics	Olimpiese Spele; 
PACs	KVO's; 
PAP	PAP;  Pan-Afrika-parlement; 
PC	PK;  KK;  inkoopprys; 
Palestine	Palestina; 
Pan	Pan-; 
Paris	Parys; 
